"Sample" "Tissue" "Condition"
"421" "GSM3985701" "Retina_Macula" "AMD"
"422" "GSM3985702" "Retina_Macula" "Control"
"423" "GSM3985703" "Retina_Macula" "Control"
"424" "GSM3985704" "Retina_Macula" "Control"
"425" "GSM3985705" "Retina_non-Macula" "Control"
"426" "GSM3985706" "Retina_Macula" "Control"
"427" "GSM3985707" "RPE_Macula" "Control"
"428" "GSM3985708" "RPE_non-Macula" "Control"
"429" "GSM3985709" "RPE_Macula" "Control"
"430" "GSM3985710" "Retina_non-Macula" "AMD"
"431" "GSM3985711" "Retina_Macula" "Control"
"432" "GSM3985712" "Retina_non-Macula" "AMD"
"433" "GSM3985713" "RPE_non-Macula" "Control"
"434" "GSM3985714" "Retina_non-Macula" "Control"
"435" "GSM3985715" "Retina_non-Macula" "Control"
"436" "GSM3985716" "Retina_non-Macula" "Control"
"437" "GSM3985717" "RPE_Macula" "AMD"
"438" "GSM3985718" "RPE_non-Macula" "Control"
"439" "GSM3985719" "Retina_non-Macula" "Control"
"440" "GSM3985720" "Retina_non-Macula" "Control"
"441" "GSM3985721" "RPE_Macula" "Control"
"442" "GSM3985722" "RPE_Macula" "Control"
"443" "GSM3985723" "Retina_non-Macula" "Control"
"444" "GSM3985724" "RPE_Macula" "Control"
"445" "GSM3985725" "Retina_non-Macula" "Control"
"446" "GSM3985726" "RPE_Macula" "Control"
"447" "GSM3985727" "RPE_Macula" "Control"
"448" "GSM3985728" "RPE_Macula" "Control"
"449" "GSM3985729" "Retina_Macula" "Control"
"450" "GSM3985730" "RPE_non-Macula" "Control"
"451" "GSM3985731" "Retina_Macula" "Control"
"452" "GSM3985732" "Retina_non-Macula" "Control"
"453" "GSM3985733" "RPE_non-Macula" "AMD"
"454" "GSM3985734" "RPE_Macula" "AMD"
"455" "GSM3985735" "Retina_non-Macula" "Control"
"456" "GSM3985736" "Retina_Macula" "AMD"
"457" "GSM3985737" "RPE_Macula" "Control"
"458" "GSM3985738" "RPE_non-Macula" "Control"
"459" "GSM3985739" "RPE_non-Macula" "Control"
"460" "GSM3985740" "RPE_non-Macula" "Control"
"461" "GSM3985741" "Retina_non-Macula" "Control"
"462" "GSM3985742" "RPE_Macula" "Control"
"463" "GSM3985743" "Retina_Macula" "Control"
"464" "GSM3985744" "RPE_non-Macula" "Control"
"465" "GSM3985745" "RPE_non-Macula" "Control"
"466" "GSM3985746" "Retina_Macula" "AMD"
"467" "GSM3985747" "Retina_non-Macula" "Control"
"468" "GSM3985748" "Retina_non-Macula" "Control"
"469" "GSM3985749" "Retina_Macula" "Control"
"470" "GSM3985750" "Retina_Macula" "Control"
"471" "GSM3985751" "RPE_non-Macula" "Control"
"472" "GSM3985752" "Retina_non-Macula" "Control"
"473" "GSM3985753" "RPE_non-Macula" "Control"
"474" "GSM3985754" "RPE_non-Macula" "Control"
"475" "GSM3985755" "Retina_non-Macula" "Control"
"476" "GSM3985756" "Retina_Macula" "AMD"
"477" "GSM3985757" "RPE_Macula" "Control"
"478" "GSM3985758" "RPE_non-Macula" "AMD"
"479" "GSM3985759" "RPE_Macula" "AMD"
"480" "GSM3985760" "Retina_Macula" "Control"
"481" "GSM3985761" "RPE_non-Macula" "Control"
"482" "GSM3985762" "Retina_non-Macula" "Control"
"483" "GSM3985763" "Retina_non-Macula" "Control"
"484" "GSM3985764" "Retina_Macula" "Control"
"485" "GSM3985765" "Retina_Macula" "Control"
"486" "GSM3985766" "Retina_non-Macula" "Control"
"487" "GSM3985767" "Retina_Macula" "Control"
"488" "GSM3985768" "RPE_non-Macula" "Control"
"489" "GSM3985769" "RPE_Macula" "Control"
"490" "GSM3985770" "RPE_non-Macula" "Control"
"491" "GSM3985771" "RPE_non-Macula" "Control"
"492" "GSM3985772" "RPE_Macula" "Control"
"493" "GSM3985773" "RPE_Macula" "Control"
"494" "GSM3985774" "RPE_Macula" "Control"
"495" "GSM3985775" "RPE_Macula" "AMD"
"496" "GSM3985776" "Retina_non-Macula" "Control"
"497" "GSM3985777" "Retina_Macula" "Control"
"498" "GSM3985778" "Retina_Macula" "Control"
"499" "GSM3985779" "Retina_non-Macula" "AMD"
"500" "GSM3985780" "Retina_Macula" "Control"
"501" "GSM3985781" "Retina_non-Macula" "Control"
"502" "GSM3985782" "RPE_Macula" "Control"
"503" "GSM3985783" "RPE_non-Macula" "Control"
"504" "GSM3985784" "Retina_Macula" "Control"
"505" "GSM3985785" "RPE_non-Macula" "AMD"
"506" "GSM3985786" "Retina_Macula" "Control"
"507" "GSM3985787" "Retina_Macula" "Control"
"508" "GSM3985788" "RPE_non-Macula" "Control"
"509" "GSM3985789" "Retina_Macula" "Control"
"510" "GSM3985790" "Retina_Macula" "Control"
"511" "GSM3985791" "RPE_non-Macula" "Control"
"512" "GSM3985792" "RPE_Macula" "Control"
"513" "GSM3985793" "RPE_non-Macula" "Control"
"514" "GSM3985794" "Retina_non-Macula" "Control"
"515" "GSM3985795" "RPE_non-Macula" "Control"
"516" "GSM3985796" "Retina_non-Macula" "Control"
"517" "GSM3985797" "Retina_Macula" "AMD"
"518" "GSM3985798" "RPE_Macula" "Control"
"519" "GSM3985799" "RPE_Macula" "Control"
"520" "GSM3985800" "Retina_non-Macula" "Control"
"521" "GSM3985801" "Retina_non-Macula" "Control"
"522" "GSM3985802" "RPE_non-Macula" "Control"
"523" "GSM3985803" "Retina_non-Macula" "Control"
"524" "GSM3985804" "Retina_non-Macula" "AMD"
"525" "GSM3985805" "Retina_Macula" "Control"
"526" "GSM3985806" "Retina_Macula" "Control"
"527" "GSM3985807" "RPE_Macula" "Control"
"528" "GSM3985808" "RPE_Macula" "AMD"
"529" "GSM3985809" "RPE_non-Macula" "Control"
